Hippodrome,Date
CARENTAN,2022-07-16
SABLE-SUR-SARTHE,2022-07-16
VILLEREAL,2022-07-16
HYERES,2022-07-17
LA CAPELLE,2022-07-17
ROYAN-ATLANTIQUE,2022-07-17
AVRANCHES,2022-07-17
BAGNOLES DE L'ORNE,2022-07-17
BERNAY,2022-07-17
CASTERA-VERDUZAN,2022-07-17
DEAUVILLE-CLAIREFONTAINE,2022-07-17
LA GACILLY,2022-07-17
LA ROCHE-POSAY,2022-07-17
LE PERTRE,2022-07-17
MONTMIRAIL,2022-07-17
ROCHEFORT-SUR-LOIRE,2022-07-17
SAINT-JEAN-DE-MONTS,2022-07-17
VITTEL,2022-07-17
ZONZA,2022-07-17
CAGNES-SUR-MER,2022-07-18
CHERBOURG,2022-07-18
CAZAUBON,2022-07-18
ROCHEFORT-SUR-LOIRE,2022-07-18
CABOURG,2022-07-19
LE MANS,2022-07-19
BIARRITZ,2022-07-19
ENGHIEN,2022-07-20
LE MONT-SAINT-MICHEL-PONTORSON,2022-07-20
CAGNES-SUR-MER,2022-07-20
LES SABLES D'OLONNE,2022-07-21
BIARRITZ,2022-07-21
GRAIGNES,2022-07-21
CABOURG,2022-07-22
LANGON-LIBOURNE,2022-07-22
PORNICHET,2022-07-22
CAGNES-SUR-MER,2022-07-22
ENGHIEN,2022-07-23
SAINT-GALMIER,2022-07-23
AMIENS,2022-07-23
BIARRITZ,2022-07-23
LES SABLES D'OLONNE,2022-07-23
FEURS,2022-07-24
HYERES,2022-07-24
AGON-COUTAINVILLE,2022-07-24
AURILLAC,2022-07-24
DEAUVILLE-CLAIREFONTAINE,2022-07-24
ECOMMOY,2022-07-24
GUERLESQUIN,2022-07-24
KARUKERA (GUADELOUPE),2022-07-24
LA FERTE-VIDAME,2022-07-24
LUCON,2022-07-24
MONTIER-EN-DER,2022-07-24
PLESSE,2022-07-24
RANES,2022-07-24
ROYAN-ATLANTIQUE,2022-07-24
SAINT-MALO,2022-07-24
SAINT-OMER,2022-07-24
VILLENEUVE-SUR-LOT,2022-07-24
CAGNES-SUR-MER,2022-07-25
CHATELAILLON-LA ROCHELLE,2022-07-25
AIX-LES-BAINS,2022-07-25
BREHAL,2022-07-25
GUERLESQUIN,2022-07-25
PLESSE,2022-07-25
CABOURG,2022-07-26
LA CAPELLE,2022-07-26
BIARRITZ,2022-07-26
ENGHIEN,2022-07-27
MESLAY-DU-MAINE,2022-07-27
CAGNES-SUR-MER,2022-07-27
