nom-course,prix-course,distance-course,condition-course,mode-course,depart-course
VILLEDIEU-LES-POELES 08/07/22 C1,14 000E,2 800m,Apprentis - lads-jockeys Pour 5 ans n'ayant pas gagne 38.000. - Recul de 25 m. a  18.000. ,Attele,Volte
VILLEDIEU-LES-POELES 08/07/22 C2,12 000E,2 800m,Pour pouliches de 3 ans n'ayant pas gagne 1.900. ,Attele,Volte
VILLEDIEU-LES-POELES 08/07/22 C3,12 000E,2 800m,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 1.900. ,Attele,Volte
VILLEDIEU-LES-POELES 08/07/22 C4,18 000E,2 800m,Pour 6 7 et 8 ans n'ayant pas gagne 115.000. - Recul de 25 m. a  58.000. ,Attele,Volte
VILLEDIEU-LES-POELES 08/07/22 C5,13 000E,2 800m,Pour 4 ans n'ayant pas gagne 13.400. - Recul de 25 m. a  5.600. ,Attele,Volte
VILLEDIEU-LES-POELES 08/07/22 C6,13 000E,2 825m,Course "ap" Pour 4 ans n'ayant pas gagne 10.000. ,Monte,Volte
VILLEDIEU-LES-POELES 08/07/22 C7,5 000E,2 825m,Eliminatoire de la Coupe Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 61.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas couru plus de quatre fois cette annee. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
ENGHIEN 09/07/22 C1,44 000E,2 875m,Pour 4 ans n'ayant pas gagne 90.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
ENGHIEN 09/07/22 C2,80 000E,2 150m,Course Europeenne   Pour 3 ans ayant gagne au moins 10.000 mais pas 110.000. Sont seuls admis a  participer a  cette epreuve les poulains et pouliches n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er d'une epreuve de Groupe I. Sont seules admises a  driver les personnes ayant gagne au moins trente-cinq courses dont dix au trot attele ,Attele,Autostart
ENGHIEN 09/07/22 C3,90 000E,2 875m,Course Europeenne Pour 5 a  10 ans inclus n'ayant pas gagne 685.000; les 5 a  8 ans ayant gagne au moins 90.000. - Recul de 25 m. a  350.000. ,Attele,Volte
ENGHIEN 09/07/22 C4,53 000E,2 150m,Course Europeenne   Pour 7 et 8 ans n'ayant pas gagne 169.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I ou 1er d'une epreuve de Groupe II. ,Attele,Autostart
ENGHIEN 09/07/22 C5,44 000E,2 150m,  Pour chevaux entiers et hongres de 5 6 et 7 ans n'ayant pas gagne 128.000. ,Attele,Autostart
ENGHIEN 09/07/22 C6,80 000E,2 875m,Course Europeenne Pour 4 et 5 ans ayant gagne au moins 30.000 mais pas 280.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I. ,Attele,Volte
ENGHIEN 09/07/22 C7,51 000E,2 250m,Pour 5 et 6 ans n'ayant pas gagne 105.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
ENGHIEN 09/07/22 C8,39 000E,2 150m,  Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 44.000. ,Attele,Autostart
ENGHIEN 09/07/22 C9,39 000E,2 875m,Pour pouliches de 4 ans n'ayant pas gagne 35.000. ,Attele,Volte
BEAUMONT DE LOMAGNE 10/07/22 C1,12 000E,2 550m,Pour 2 ans n'ayant jamais couru. Sont seules admises a  driver les personnes ayant gagne au moins dix courses au trot attele (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
BEAUMONT DE LOMAGNE 10/07/22 C2,14 000E,2 400m,  Pour 3 ans ayant couru mais n'ayant pas gagne 4.000. ,Attele,Autostart
BEAUMONT DE LOMAGNE 10/07/22 C3,18 000E,2 400m,  Pour 7 ans n'ayant pas gagne 77.000. ,Attele,Autostart
BEAUMONT DE LOMAGNE 10/07/22 C4,15 000E,2 400m,Challenge de l'Avenir Apprentis-lads-jockeys   Pour 5 ans n'ayant pas gagne 35.000. ,Attele,Autostart
BEAUMONT DE LOMAGNE 10/07/22 C5,21 000E,2 400m,  Pour 7 8 et 9 ans n'ayant pas gagne 123.000. ,Attele,Autostart
BEAUMONT DE LOMAGNE 10/07/22 C6,14 000E,2 550m,Pour 4 ans n'ayant pas gagne 19.300. - Recul de 25 m. a  8.000. ,Attele,Volte
BEAUMONT DE LOMAGNE 10/07/22 C7,15 000E,2 550m,Challenge de l'Avenir Apprentis - lads-jockeys Pour 5 et 6 ans n'ayant pas gagne 48.000. ,Monte,Volte
ABBEVILLE 10/07/22 C1,12 000E,2 300m,Pour 3 ans n'ayant pas gagne 900. ,Attele,Volte
ABBEVILLE 10/07/22 C2,5 000E,2 300m,Challenge UNAT NIDFE - FINNTACK Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 61.000. - Recul de 25 m. a  30.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
ABBEVILLE 10/07/22 C3,12 000E,3 100m,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 8.000. ,Attele,Volte
ABBEVILLE 10/07/22 C4,17 000E,3 175m,Apprentis-lads-jockeys Pour 6 7 et 8 ans n'ayant pas gagne 99.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne six courses. ,Attele,Volte
ABBEVILLE 10/07/22 C5,18 000E,3 150m,Course Europeenne Pour 6 7 et 8 ans n'ayant pas gagne 130.000. - Recul de 25 m. a  66.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I ou 1er d'une epreuve de Groupe II. ,Attele,Volte
ABBEVILLE 10/07/22 C6,20 000E,3 175m,Course "ap" Pour 7 8 et 9 ans n'ayant pas gagne 118.000. ,Monte,Volte
ABBEVILLE 10/07/22 C7,5 000E,3 150m,Eliminatoire de la Coupe Challenge UNAT NIDFE - FINNTACK Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 84.000. - Recul de 25 m. a  41.500. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
LA CAPELLE 10/07/22 C1,20 000E,2 750m,Pour 5 ans n'ayant pas gagne 53.000. - Recul de 25 m. a  26.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
LA CAPELLE 10/07/22 C2,23 000E,2 750m,Course Nationale LeTROT Open des Regions - Grand Nord - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 15.000. ,Attele,Volte
LA CAPELLE 10/07/22 C3,20 000E,2 700m,Course Nationale LeTROT Open des Regions - Grand Nord - 4 ans Course qualificative   Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 27.500. ,Attele,Autostart
LA CAPELLE 10/07/22 C4,6 000E,1 800m,CHALLENGE UNAT Challenge UNAT NIDFE - Sellerie de Grosbois Amateurs   Pour 7 et 8 ans n'ayant pas gagne 75.000. Sont seules admises a  driver les personnes ayant gagne au moins deux courses ou ayant couru au moins trente fois. ,Attele,Autostart
LA CAPELLE 10/07/22 C5,23 000E,1 800m,Course Nationale LeTROT Open des Regions - Grand Nord - 5 ans Course qualificative   Pour 5 ans n'ayant pas gagne 51.000. ,Attele,Autostart
LA CAPELLE 10/07/22 C6,23 000E,1 800m,Apprentis-lads-jockeys   Pour 5 et 6 ans n'ayant pas gagne 85.000. ,Attele,Autostart
LA CAPELLE 10/07/22 C7,100 000E,1 609m,Groupe II Course Internationale   Pour 4 a  10 ans inclus ayant gagne au moins 160.000. Sont seules admises a  driver les personnes ayant gagne au moins trente-cinq courses dont dix au trot attele (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Autostart
LA CAPELLE 10/07/22 C8,26 000E,2 750m,Pour juments de 7 8 et 9 ans n'ayant pas gagne 147.000. - Recul de 25 m. a  79.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
CARPENTRAS 10/07/22 C1,13 000E,2 650m,Pour 4 ans n'ayant pas gagne 14.500. - Recul de 25 m. a  7.200. ,Attele,Volte
CARPENTRAS 10/07/22 C2,12 000E,2 650m,Pour 3 ans n'ayant pas gagne 2.500. ,Attele,Volte
CARPENTRAS 10/07/22 C3,17 000E,2 650m,Pour 6 7 et 8 ans n'ayant pas gagne 69.000. ,Attele,Volte
CARPENTRAS 10/07/22 C4,15 000E,2 650m,Pour 5 ans n'ayant pas gagne 54.000. - Recul de 25 m. a  26.000. ,Attele,Volte
CARPENTRAS 10/07/22 C5,17 000E,2 650m,Pour 7 ans n'ayant pas gagne 84.000. - Recul de 25 m. a  44.000. ,Attele,Volte
CARPENTRAS 10/07/22 C6,25 000E,2 650m,Pour 6 a  10 ans inclus n'ayant pas gagne 293.000. - Recul de 25 m. a  149.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
CARPENTRAS 10/07/22 C7,5 000E,2 650m,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 106.000. - Recul de 25 m. a  53.000. ,Attele,Volte
LIGNIERES EN BERRY 10/07/22 C1,16 000E,2 825m,Pour 5 ans n'ayant pas gagne 53.000. - Recul de 25 m. a  27.000. ,Attele,Volte
LIGNIERES EN BERRY 10/07/22 C2,14 000E,2 825m,Pour 4 ans n'ayant pas gagne 17.000. En cas d'elimination les poulains et pouliches entraines dans la Federation du Centre-Est seront maintenus partants en priorite. ,Attele,Volte
LIGNIERES EN BERRY 10/07/22 C3,23 000E,2 825m,Pour 6 a  10 ans inclus n'ayant pas gagne 189.000. - Recul de 25 m. a  95.000. ,Attele,Volte
LIGNIERES EN BERRY 10/07/22 C4,16 000E,2 825m,Pour 6 ans n'ayant pas gagne 80.000. - Recul de 25 m. a  40.000. ,Attele,Volte
LIGNIERES EN BERRY 10/07/22 C5,19 000E,2 825m,Pour 7 et 8 ans n'ayant pas gagne 111.000. - Recul de 25 m. a  59.000. ,Attele,Volte
LIGNIERES EN BERRY 10/07/22 C6,14 000E,2 100m,Pour 3 ans n'ayant pas gagne 7.000. ,Monte,Volte
LIGNIERES EN BERRY 10/07/22 C7,14 000E,2 100m,Pour 4 ans n'ayant pas gagne 12.500. ,Monte,Volte
GENETS 10/07/22 C1,12 000E,2 600m,Pour 3 ans n'ayant pas gagne 2.500. ,Attele,Volte
GENETS 10/07/22 C2,15 000E,2 625m,Course F Course "ap" Pour 5 ans n'ayant pas gagne 40.000. ,Attele,Volte
GENETS 10/07/22 C3,12 000E,2 600m,Course H Pour 4 ans n'ayant pas gagne 8.000. - Recul de 25 m. a  2.000. ,Attele,Volte
GENETS 10/07/22 C4,15 000E,2 600m,PRIX GUY LEMAITRE Course F Pour 6 ans n'ayant pas gagne 70.000. - Recul de 25 m. a  34.500. ,Attele,Volte
GENETS 10/07/22 C5,19 000E,2 600m,Course F Pour 7 8 et 9 ans n'ayant pas gagne 160.000. - Recul de 25 m. a  77.000. ,Attele,Volte
GENETS 10/07/22 C6,19 000E,2 600m,Course F Pour 6 a  9 ans inclus n'ayant pas gagne 141.000. - Recul de 25 m. a  71.000. ,Monte,Volte
GENETS 10/07/22 C7,5 000E,2 600m,Course H Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 75.000. - Recul de 25 m. a  37.000. ,Attele,Volte
CASTILLONNES 10/07/22 C1,13 000E,2 450m,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 3.500. ,Attele,Volte
CASTILLONNES 10/07/22 C2,13 000E,2 450m,Pour 3 ans n'ayant pas gagne 1.800. ,Attele,Volte
CASTILLONNES 10/07/22 C3,14 000E,2 450m,Challenge de l'Avenir Apprentis - lads-jockeys Pour 5 ans n'ayant pas gagne 45.000. - Recul de 25 m. a  20.000. ,Attele,Volte
CASTILLONNES 10/07/22 C4,16 000E,2 450m,Pour 6 ans n'ayant pas gagne 64.000. ,Attele,Volte
CASTILLONNES 10/07/22 C5,23 000E,2 450m,Pour 7 8 et 9 ans n'ayant pas gagne 142.000. ,Attele,Volte
CASTILLONNES 10/07/22 C6,13 000E,2 450m,Pour pouliches de 4 ans n'ayant pas gagne 3.500. ,Attele,Volte
CASTILLONNES 10/07/22 C7,14 000E,2 450m,Pour 4 ans n'ayant pas gagne 12.500. - Recul de 25 m. a  5.500. ,Monte,Volte
MADININA (MARTINIQUE) 10/07/22 C3,5 000E,2 600m,Pour 6 a  15 ans inclus. - Recul de 25 m. aux chevaux ayant gagne entre 4.500 et 13.500 aux Antilles depuis 12 mois de 50 m. aux chevaux ayant gagne plus de 13.500 aux Antilles depuis 12 mois. - Avance de 25 m. aux chevaux ages de 11 ans et plus. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C1,13 000E,3 100m,Pour 4 ans n'ayant pas gagne 15.000. - Recul de 25 m. a  6.500. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C2,3 000E,3 125m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 67.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne cette annee. En cas d'elimination le cheval drive par un amateur membre de l'U.N.A.T. Ouest/Anjou-Maine sera maintenu partant en priorite. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C3,15 000E,3 100m,Pour chevaux entiers et hongres de 5 ans n'ayant pas gagne 45.000. - Recul de 25 m. a  23.000. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C4,15 000E,3 100m,Pour juments de 5 ans n'ayant pas gagne 45.000. - Recul de 25 m. a  23.000. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C5,20 000E,3 100m,Pour 6 a  9 ans inclus n'ayant pas gagne 141.000. - Recul de 25 m. a  74.000. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C6,15 000E,3 100m,Pour 6 ans n'ayant pas gagne 69.000. - Recul de 25 m. a  36.000. ,Attele,Volte
CHINON - RICHELIEU 10/07/22 C7,15 000E,3 100m,Course H Apprentis-lads-jockeys Pour 6 7 et 8 ans n'ayant pas gagne 96.000. - Recul de 25 m. a  48.000. ,Monte,Volte
CHINON - RICHELIEU 10/07/22 C8,5 000E,3 100m,PRIX DE L'U.N.A.T. Eliminatoire de la Coupe Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 97.000. - Recul de 25 m. a  52.000. ,Attele,Volte
ERBRAY 10/07/22 C1,15 000E,2 675m,Pour 5 ans n'ayant pas gagne 40.000. - Recul de 25 m. a  20.000. ,Attele,Volte
ERBRAY 10/07/22 C2,15 000E,2 675m,Course Nationale LeTROT Open des Regions - Ouest - 4 ans Course qualificative Pour 4 ans n'ayant pas gagne 16.000. - Recul de 25 m. a  8.000. ,Attele,Volte
ERBRAY 10/07/22 C3,5 000E,2 700m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 60.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne cinq courses. ,Attele,Volte
ERBRAY 10/07/22 C4,5 000E,2 675m,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 76.000. - Recul de 25 m. a  37.500. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
GEMOZAC 10/07/22 C1,13 000E,2 600m,Pour 3 ans n'ayant pas gagne 7.200. - Recul de 25 m. a  2.800. ,Attele,Volte
GEMOZAC 10/07/22 C4,18 000E,2 600m,Course H Pour 6 a  9 ans inclus n'ayant pas gagne 97.000. - Recul de 25 m. a  49.000. ,Attele,Volte
GEMOZAC 10/07/22 C5,14 000E,2 600m,Pour 5 6 et 7 ans n'ayant pas gagne 59.000. - Recul de 25 m. a  27.000. ,Monte,Volte
GEMOZAC 10/07/22 C7,5 000E,2 600m,Course H Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 62.000. - Recul de 25 m. a  32.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C1,13 000E,3 000m,Pour 3 ans n'ayant pas gagne 6.000. - Recul de 25 m. a  1.200. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C2,15 000E,3 000m,Course Nationale LeTROT Open des Regions - Grand Nord - 4 ans Course qualificative Pour 4 ans n'ayant pas gagne 25.000. - Recul de 25 m. a  13.000. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C3,5 000E,3 000m,Challenge UNAT NIDFE - FINNTACK Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 58.000. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C4,25 000E,3 000m,Pour 6 a  10 ans inclus n'ayant pas gagne 230.000. - Recul de 25 m. a  120.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
MONTIER-EN-DER 10/07/22 C5,15 000E,3 000m,Pour 5 et 6 ans n'ayant pas gagne 60.000. - Recul de 25 m. a  30.500. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C6,15 000E,3 000m,Pour 5 ans n'ayant pas gagne 44.000. - Recul de 25 m. a  22.000. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C7,15 000E,3 000m,Apprentis - lads-jockeys Pour 6 7 et 8 ans n'ayant pas gagne 98.000. - Recul de 25 m. a  45.000. ,Attele,Volte
MONTIER-EN-DER 10/07/22 C8,5 000E,3 000m,Challenge UNAT NIDFE - FINNTACK Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 100.000. - Recul de 25 m. a  50.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Attele,Volte
QUESTEMBERT 10/07/22 C1,15 000E,2 500m,Course Nationale LeTROT Open des Regions - Ouest - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 3.600. ,Attele,Volte
QUESTEMBERT 10/07/22 C3,12 000E,2 500m,Pour pouliches de 4 ans n'ayant pas gagne 7.400. ,Attele,Volte
QUESTEMBERT 10/07/22 C5,15 000E,3 125m,Pour 5 ans n'ayant pas gagne 50.000. - Recul de 25 m. a  23.500. ,Attele,Volte
QUESTEMBERT 10/07/22 C7,15 000E,2 500m,Pour 6 ans n'ayant pas gagne 57.000. ,Attele,Volte
RANES 10/07/22 C1,13 000E,2 150m,Pour 3 ans n'ayant pas gagne 3.500. ,Attele,Volte
RANES 10/07/22 C2,10 000E,3 150m,Course "a reclamer" Pour 6 et 7 ans n'ayant pas gagne 93.000 a  reclamer pour 7.000 ou 11.000. - Avance de 25 m. aux chevaux a  reclamer pour 7.000. ,Attele,Volte
RANES 10/07/22 C3,12 000E,3 125m,Pour 4 ans n'ayant pas gagne 9.900. - Recul de 25 m. a  2.600. ,Attele,Volte
RANES 10/07/22 C4,15 000E,3 125m,Pour 5 et 6 ans n'ayant pas gagne 60.000. - Recul de 25 m. a  31.000. ,Monte,Volte
RANES 10/07/22 C5,10 000E,3 150m,Challenge GROUPAMA Apprentis - lads-jockeys Course "a reclamer" Pour 5 ans n'ayant pas gagne 51.000 a  reclamer pour 8.000 ou 11.000. - Avance de 25 m. aux chevaux a  reclamer pour 8.000. ,Attele,Volte
RANES 10/07/22 C6,15 000E,3 125m,Pour 6 ans n'ayant pas gagne 81.000. - Recul de 25 m. a  39.500. ,Attele,Volte
RANES 10/07/22 C7,5 000E,3 125m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 85.000. - Recul de 25 m. a  41.500. ,Attele,Volte
SEGRE 10/07/22 C1,12 000E,2 700m,Course H Pour pouliches de 3 ans n'ayant pas gagne 1.300. ,Attele,Volte
SEGRE 10/07/22 C2,12 000E,2 700m,Course H Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 1.300. ,Attele,Volte
SEGRE 10/07/22 C3,13 000E,2 700m,Course F Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 12.500. - Recul de 25 m. a  5.500. ,Attele,Volte
SEGRE 10/07/22 C4,13 000E,2 700m,Course F Pour pouliches de 4 ans n'ayant pas gagne 12.500. - Recul de 25 m. a  5.500. ,Attele,Volte
SEGRE 10/07/22 C5,13 000E,2 700m,Pour 3 ans n'ayant pas gagne 4.500. ,Monte,Volte
SEGRE 10/07/22 C6,20 000E,2 700m,Course D Pour 5 a  8 ans inclus n'ayant pas gagne 163.000. - Recul de 25 m. a  81.500. ,Attele,Volte
SEGRE 10/07/22 C7,14 000E,2 700m,Course F Apprentis-lads-jockeys Pour 5 ans n'ayant pas gagne 61.000. - Recul de 25 m. a  31.000. ,Attele,Volte
CAGNES-SUR-MER 11/07/22 C1,24 000E,2 925m,Pour 5 6 et 7 ans n'ayant pas gagne 116.000. - Recul de 25 m. a  57.000. ,Attele,Volte
CAGNES-SUR-MER 11/07/22 C2,22 000E,2 150m,  Pour 5 ans n'ayant pas gagne 30.000. ,Attele,Autostart
CAGNES-SUR-MER 11/07/22 C3,36 000E,2 700m,  Pour 6 a  10 ans inclus n'ayant pas gagne 242.000. ,Attele,Autostart
CAGNES-SUR-MER 11/07/22 C4,21 000E,2 925m,Pour 4 ans n'ayant pas gagne 35.000. - Recul de 25 m. a  17.500. ,Attele,Volte
CAGNES-SUR-MER 11/07/22 C5,24 000E,2 700m,Apprentis-lads-jockeys   Pour 6 7 et 8 ans n'ayant pas gagne 88.000. ,Attele,Autostart
CAGNES-SUR-MER 11/07/22 C6,28 000E,2 925m,Pour 6 a  9 ans inclus n'ayant pas gagne 107.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
CAGNES-SUR-MER 11/07/22 C7,19 000E,2 150m,  Pour 3 ans n'ayant pas gagne 4.500. ,Attele,Autostart
LES SABLES D'OLONNE 11/07/22 C1,18 000E,2 775m,Course Nationale LeTROT Open des Regions - Ouest - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 7.000. ,Attele,Volte
LES SABLES D'OLONNE 11/07/22 C2,23 000E,2 775m,Pour juments de 5 ans n'ayant pas gagne 65.000. - Recul de 25 m. a  31.000. ,Attele,Volte
LES SABLES D'OLONNE 11/07/22 C3,26 000E,2 775m,Pour 7 a  10 ans inclus n'ayant pas gagne 150.000. - Recul de 25 m. a  75.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
LES SABLES D'OLONNE 11/07/22 C4,38 000E,2 775m,Course Europeenne Pour 6 a  10 ans inclus n'ayant pas gagne 330.000. - Recul de 25 m. a  177.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
LES SABLES D'OLONNE 11/07/22 C5,20 000E,2 650m,Course Nationale LeTROT Open des Regions - Ouest - 4 ans Course qualificative   Pour 4 ans n'ayant pas gagne 25.000. ,Attele,Autostart
LES SABLES D'OLONNE 11/07/22 C6,23 000E,2 775m,Pour chevaux entiers et hongres de 5 ans n'ayant pas gagne 65.000. - Recul de 25 m. a  31.000. ,Attele,Volte
LES SABLES D'OLONNE 11/07/22 C7,29 000E,2 650m,Course Europeenne   Pour 7 8 et 9 ans n'ayant pas gagne 151.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I ou 1er d'une epreuve de Groupe II. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Autostart
LES SABLES D'OLONNE 11/07/22 C8,20 000E,2 650m,  Pour 6 ans n'ayant pas gagne 70.000. ,Attele,Autostart
BIARRITZ 11/07/22 C1,14 000E,2 975m,Challenge de l'Avenir Apprentis - lads-jockeys Pour 6 et 7 ans n'ayant pas gagne 68.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne six courses. ,Attele,Volte
BIARRITZ 11/07/22 C2,12 000E,2 150m,Pour 3 ans ayant couru mais n'ayant pas gagne 800. En cas d'elimination les poulains et pouliches ayant ete elimines au moins une fois a  Biarritz dans les courses d'une valeur nominale strictement inferieure a  16.000 euros et n'etant jamais restes inscrits au programme cette annee a  Biarritz seront retenus en priorite. ,Attele,Volte
BIARRITZ 11/07/22 C3,17 000E,2 150m,Course D Pour 3 ans n'ayant pas gagne 15.000. ,Monte,Volte
BIARRITZ 11/07/22 C4,12 000E,2 150m,Pour 4 ans ayant couru mais n'ayant pas gagne 6.100. En cas d'elimination les poulains et pouliches ayant ete elimines au moins une fois a  Biarritz dans les courses d'une valeur nominale strictement inferieure a  16.000 euros et n'etant jamais restes inscrits au programme cette annee a  Biarritz seront retenus en priorite. ,Attele,Volte
BIARRITZ 11/07/22 C5,15 000E,2 950m,Course E Pour 4 ans n'ayant pas gagne 38.000. - Recul de 25 m. a  17.000. ,Attele,Volte
BIARRITZ 11/07/22 C6,18 000E,2 150m,Pour 5 a  9 ans inclus n'ayant pas gagne 115.000. - Recul de 25 m. a  54.000. ,Attele,Volte
BIARRITZ 11/07/22 C7,15 000E,2 150m,Pour 5 ans n'ayant pas gagne 30.800. En cas d'elimination les chevaux ayant ete elimines au moins une fois a  Biarritz dans les courses d'une valeur nominale strictement inferieure a  16.000 euros et n'etant jamais restes inscrit au programme cette annee a  Biarritz seront retenus en priorite. ,Attele,Volte
GRANVILLE 11/07/22 C2,13 000E,3 125m,Pour 4 ans n'ayant pas gagne 16.400. - Recul de 25 m. a  6.200. ,Attele,Volte
GRANVILLE 11/07/22 C4,20 000E,3 125m,Pour 7 8 et 9 ans n'ayant pas gagne 145.000. - Recul de 25 m. a  67.000. ,Attele,Volte
CABOURG 12/07/22 C1,28 000E,2 750m,Pour chevaux entiers et hongres de 5 a  8 ans inclus n'ayant pas gagne 165.000. - Recul de 25 m. a  78.000. ,Attele,Volte
CABOURG 12/07/22 C2,24 000E,2 750m,Pour chevaux entiers et hongres de 4 et 5 ans n'ayant pas gagne 66.000. - Recul de 25 m. a  32.500. ,Attele,Volte
CABOURG 12/07/22 C3,26 000E,2 750m,Apprentis-lads-jockeys Pour 6 7 et 8 ans n'ayant pas gagne 161.000. - Recul de 25 m. a  79.000. Poids minimum (voir Conditions Generales). ,Monte,Volte
CABOURG 12/07/22 C4,21 000E,2 725m,  Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 29.500. ,Attele,Autostart
CABOURG 12/07/22 C5,21 000E,2 050m,  Pour pouliches de 3 ans n'ayant pas gagne 13.000. ,Attele,Autostart
CABOURG 12/07/22 C6,22 000E,2 750m,Pour juments de 5 ans n'ayant pas gagne 45.000. - Recul de 25 m. a  21.500. ,Attele,Volte
CABOURG 12/07/22 C7,21 000E,2 750m,Pour 4 ans n'ayant pas gagne 20.500. ,Attele,Volte
CABOURG 12/07/22 C8,19 000E,2 750m,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 18.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
CABOURG 12/07/22 C9,6 000E,2 750m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 112.000. - Recul de 25 m. a  66.000. ,Attele,Volte
PORNICHET 12/07/22 C1,19 000E,2 650m,Course Nationale LeTROT Open des Regions - Ouest - 3 ans Course qualificative   Pour 3 ans n'ayant pas gagne 10.700. ,Attele,Autostart
PORNICHET 12/07/22 C2,6 000E,2 725m,CHALLENGE UNAT Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 87.000. - Recul de 25 m. a  42.500. Sont seules admises a  driver les personnes ayant gagne au moins deux courses ou ayant couru au moins trente fois. ,Attele,Volte
PORNICHET 12/07/22 C3,21 000E,2 725m,Apprentis-lads-jockeys Pour 6 a  9 ans inclus n'ayant pas gagne 92.000. Poids minimum (voir Conditions Generales). ,Monte,Volte
