nom-course,prix-course,distance-course,condition-course,mode-course,depart-course
BIARRITZ 02/07/22 C4,17 000E,2 950m,Course E Course Nationale LeTROT Open des Regions - Sud-Ouest - 5 ans Course qualificative Pour 5 ans ayant gagne au moins 10.000 mais pas 75.000. - Recul de 25 m. a  34.000. ,Attele,Volte
BIARRITZ 02/07/22 C5,25 000E,2 150m,Pour 6 a  10 ans inclus n'ayant pas gagne 305.000. - Recul de 25 m. a  145.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
BIARRITZ 02/07/22 C6,15 000E,2 950m,Pour 4 et 5 ans n'ayant pas gagne 44.600. ,Monte,Volte
BIARRITZ 02/07/22 C7,5 000E,2 950m,Course H Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 87.000. - Recul de 25 m. a  42.000. Sont seules admises a  driver les personnes n'ayant pas gagne cinq courses. ,Attele,Volte
SAINT-GALMIER 03/07/22 C1,25 000E,2 650m,Pour 7 a  10 ans inclus n'ayant pas gagne 162.000. - Recul de 25 m. a  96.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
SAINT-GALMIER 03/07/22 C2,20 000E,2 650m,Pour chevaux entiers et hongres de 6 ans n'ayant pas gagne 94.000. - Recul de 25 m. a  49.000. ,Attele,Volte
SAINT-GALMIER 03/07/22 C3,25 000E,2 650m,Course Nationale LeTROT Open des Regions - Centre-Est - 4 ans Course qualificative Pour 4 ans n'ayant pas gagne 110.000. - Recul de 25 m. a  53.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Volte
SAINT-GALMIER 03/07/22 C4,19 000E,2 650m,Pour 4 ans n'ayant pas gagne 29.500. - Recul de 25 m. a  14.500. ,Attele,Volte
SAINT-GALMIER 03/07/22 C5,19 000E,2 650m,Course Nationale LeTROT Open des Regions - Centre-Est - 3 ans Course qualificative Pour 3 ans n'ayant pas gagne 10.500. ,Attele,Volte
SAINT-GALMIER 03/07/22 C6,6 000E,2 650m,CHALLENGE UNAT Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 58.000. Sont seules admises a  driver les personnes ayant gagne au moins deux courses ou ayant couru au moins trente fois. ,Attele,Volte
SAINT-GALMIER 03/07/22 C7,22 000E,2 650m,Pour 5 a  8 ans inclus n'ayant pas gagne 120.000. - Recul de 25 m. a  61.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
VIRE NORMANDIE 02/07/22 C1,22 000E,2 825m,Pour 5 et 6 ans n'ayant pas gagne 64.000 - Recul de 25 m. a  32.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
VIRE NORMANDIE 02/07/22 C2,17 000E,2 825m,Pour pouliches de 4 ans n'ayant pas gagne 20.000. - Recul de 25 m. a  10.000. ,Attele,Volte
VIRE NORMANDIE 02/07/22 C3,19 000E,2 825m,Course Nationale LeTROT Open des Regions - Basse-Normandie - 4 ans Course qualificative Pour poulains entiers et hongres de 4 ans ayant gagne au moins 2.300 mais pas 36.000. - Recul de 25 m. a  14.800. ,Attele,Volte
VIRE NORMANDIE 02/07/22 C4,25 000E,2 825m,Pour 6 a  9 ans inclus n'ayant pas gagne 162.000. - Recul de 25 m. a  81.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
VIRE NORMANDIE 02/07/22 C5,20 000E,2 700m,Apprentis-lads-jockeys   Pour 6 ans n'ayant pas gagne 105.000. ,Attele,Autostart
VIRE NORMANDIE 02/07/22 C6,17 000E,2 150m,Course Nationale LeTROT Open des Regions - Basse-Normandie - 3 ans Course qualificative   Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 6.000. ,Attele,Autostart
VIRE NORMANDIE 02/07/22 C7,22 000E,2 150m,  Pour 5 ans n'ayant pas gagne 64.000. ,Attele,Autostart
VIRE NORMANDIE 02/07/22 C8,30 000E,2 150m,  Pour 6 7 et 8 ans n'ayant pas gagne 196.000. Sont seules admises a  driver les personnes ayant gagne au moins cinq courses (en etant titulaire d'une autorisation de monter a  titre professionnel). ,Attele,Autostart
ENGHIEN 02/07/22 C1,33 000E,2 150m,  Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 14.000. ,Attele,Autostart
ENGHIEN 02/07/22 C2,33 000E,2 250m,Pour pouliches de 3 ans n'ayant pas gagne 13.500. Avantage de poids (voir Conditions Generales). ,Monte,Volte
ENGHIEN 02/07/22 C3,57 000E,2 150m,Course Europeenne   Pour 7 a  10 ans inclus n'ayant pas gagne 246.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I. ,Attele,Autostart
ENGHIEN 02/07/22 C4,44 000E,2 875m,Pour chevaux entiers et hongres de 5 ans n'ayant pas gagne 70.000. Avantage de poids (voir Conditions Generales). ,Monte,Volte
ENGHIEN 02/07/22 C5,44 000E,2 875m,Pour 5 ans n'ayant pas gagne 75.000. ,Attele,Volte
ENGHIEN 02/07/22 C6,33 000E,2 875m,Pour pouliches de 4 ans n'ayant pas gagne 27.000. ,Attele,Volte
ENGHIEN 02/07/22 C7,57 000E,2 875m,Pour chevaux entiers et hongres de 7 8 et 9 ans n'ayant pas gagne 180.000. ,Attele,Volte
ENGHIEN 02/07/22 C8,18 000E,2 150m,Course "a reclamer"   Pour 5 6 et 7 ans n'ayant pas gagne 145.000 a  reclamer pour 18.000. ,Attele,Autostart
ENGHIEN 02/07/22 C9,12 000E,2 875m,Eliminatoire de la Coupe Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 129.000. - Recul de 25 m. a  69.000. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C1,12 000E,2 200m,Pour 3 ans n'ayant rien gagne. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C2,12 000E,2 200m,Pour 3 ans n'ayant rien gagne. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C3,15 000E,2 200m,Pour 5 ans n'ayant pas gagne 30.000. ,Monte,Volte
AGON-COUTAINVILLE 03/07/22 C4,13 000E,2 200m,Pour 4 ans n'ayant pas gagne 15.000. - Recul de 25 m. a  6.000. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C5,13 000E,2 200m,Pour 4 ans n'ayant pas gagne 15.000. - Recul de 25 m. a  6.000. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C6,15 000E,3 450m,Pour 6 ans n'ayant pas gagne 95.000. - Recul de 25 m. a  50.000. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C7,22 000E,3 450m,Pour 7 8 et 9 ans n'ayant pas gagne 180.000. - Recul de 25 m. a  95.000. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C8,14 000E,2 200m,Course F Apprentis - lads-jockeys Pour 5 ans n'ayant pas gagne 47.000. - Recul de 25 m. a  23.000. ,Attele,Volte
AGON-COUTAINVILLE 03/07/22 C9,5 000E,3 450m,Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 76.000. - Recul de 25 m. a  38.000. ,Attele,Volte
CASTELSARRASIN 03/07/22 C1,13 000E,2 375m,Pour 3 ans n'ayant pas gagne 4.100. - Recul de 25 m. a  600. ,Attele,Volte
CASTELSARRASIN 03/07/22 C2,13 000E,2 375m,Pour 3 ans n'ayant pas gagne 4.100. - Recul de 25 m. a  600. ,Attele,Volte
CASTELSARRASIN 03/07/22 C3,12 000E,2 375m,Pour 4 ans n'ayant pas gagne 4.800. - Recul de 25 m. a  1.200. ,Attele,Volte
CASTELSARRASIN 03/07/22 C4,13 000E,2 375m,Challenge de l'Avenir Apprentis - lads-jockeys Pour 6 ans n'ayant pas gagne 54.000. - Recul de 25 m. a  26.000. ,Attele,Volte
CASTELSARRASIN 03/07/22 C5,13 000E,2 375m,Pour 4 ans n'ayant pas gagne 19.000. - Recul de 25 m. a  8.500. ,Attele,Volte
CASTELSARRASIN 03/07/22 C6,13 000E,2 375m,Pour 4 ans n'ayant pas gagne 19.000. - Recul de 25 m. a  8.500. ,Attele,Volte
CASTELSARRASIN 03/07/22 C7,20 000E,2 375m,Course F Course Europeenne Pour 6 a  9 ans inclus n'ayant pas gagne 174.000. - Recul de 25 m. a  80.000. Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant pas dans les 12 mois precedant la course ete classes au trot attele 1er 2eme ou 3eme d'une epreuve de Groupe I ou 1er d'une epreuve de Groupe II. ,Attele,Volte
CASTELSARRASIN 03/07/22 C8,15 000E,2 375m,Pour 5 ans n'ayant pas gagne 40.000. - Recul de 25 m. a  19.000. En cas d'elimination les chevaux ayant couru au moins quatre fois cette annee seront elimines en priorite. ,Attele,Volte
CASTELSARRASIN 03/07/22 C9,15 000E,2 375m,Pour 5 a  8 ans inclus n'ayant pas gagne 92.000. - Recul de 25 m. a  45.000. ,Monte,Volte
