Nom,Prix,Distance,Mode course,Conditions,Depart
C4,10 000E,2 825m,Attele,Course "a reclamer" Pour 5 a  8 ans inclus n'ayant pas gagne 100.000 a  reclamer pour 5.000 ou 8.000. - Avance de 25 m. aux chevaux a  reclamer pour 5.000. ,Volt
C5,15 000E,2 800m,Attele,Course F Course Nationale LeTROT Open des Regions - Sud-Est - 5 ans Course qualificative Pour 5 ans n'ayant pas gagne 46.000. - Recul de 25 m. a  22.000. ,Volt
C6,20 000E,2 800m,Attele,Course F Pour 6 a  9 ans inclus n'ayant pas gagne 146.000. - Recul de 25 m. a  70.000. ,Volt
C7,5 000E,2 800m,Attele,Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 76.000. - Recul de 25 m. a  39.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
C1,21 000E,2 600m,Attele,Pour 5 ans n'ayant pas gagne 40.000. ,Volt
C2,16 000E,2 600m,Attele,Pour 3 ans n'ayant pas gagne 5.800. ,Volt
C3,24 000E,2 600m,Attele,Pour 7 a  10 ans inclus n'ayant pas gagne 160.000. - Recul de 25 m. a  83.000. ,Volt
C4,19 000E,2 600m,Attele,Pour 6 ans n'ayant pas gagne 85.000. - Recul de 25 m. a  42.500. ,Volt
C5,16 000E,2 600m,Attele,Pour 4 ans n'ayant pas gagne 18.000. - Recul de 25 m. a  8.000. ,Volt
C6,19 000E,2 600m,Monte,Pour 5 6 et 7 ans n'ayant pas gagne 69.000. - Recul de 25 m. a  36.000. Avantage de poids (voir Conditions Generales). ,Volt
C7,6 000E,2 600m,Attele,Challenge UNAT NIDFE - Sellerie de Grosbois Course G Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 95.000. - Recul de 25 m. a  47.500. Sont seules admises a  driver les personnes ayant gagne au moins deux courses ou ayant couru au moins trente fois. ,Volt
C1,13 000E,2 450m,Attele,Pour 3 ans n'ayant pas gagne 2.600. ,Volt
C2,13 000E,2 450m,Attele,Pour 3 ans n'ayant pas gagne 2.600. ,Volt
C3,18 000E,2 450m,Attele,Pour 5 ans n'ayant pas gagne 54.000. - Recul de 25 m. a  25.500. ,Volt
C4,14 000E,2 450m,Attele,Pour 4 ans n'ayant pas gagne 17.000. ,Volt
C5,18 000E,3 475m,Attele,Pour 6 et 7 ans n'ayant pas gagne 93.000. - Recul de 25 m. a  48.000. ,Volt
C6,13 000E,2 450m,Attele,Pour 4 ans n'ayant pas gagne 12.200. - Recul de 25 m. a  4.900. ,Volt
C7,13 000E,2 450m,Attele,Pour 4 ans n'ayant pas gagne 12.200. - Recul de 25 m. a  4.900. ,Volt
C8,19 000E,2 450m,Monte,Challenge de l'Avenir Apprentis - lads-jockeys Pour 6 a  9 ans inclus n'ayant pas gagne 141.000. - Recul de 25 m. a  72.000. ,Volt
C9,5 000E,2 450m,Attele,Eliminatoire de la Coupe Amateurs Pour 6 a  9 ans inclus n'ayant pas gagne 76.000. - Recul de 25 m. a  38.500. ,Volt
C1,12 000E,2 200m,Attele,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 3.800. ,Volt
C2,12 000E,2 200m,Attele,Pour poulains entiers et hongres de 3 ans n'ayant pas gagne 3.800. ,Volt
C3,15 000E,3 450m,Monte,Pour 5 ans n'ayant pas gagne 34.000. - Recul de 25 m. a  17.500. ,Volt
C4,12 000E,3 450m,Attele,Pour 4 ans n'ayant pas gagne 9.500. - Recul de 25 m. a  4.000. ,Volt
C5,12 000E,2 200m,Attele,Pour pouliches de 3 ans n'ayant pas gagne 3.800. ,Volt
C6,12 000E,2 200m,Attele,Pour pouliches de 3 ans n'ayant pas gagne 3.800. ,Volt
C7,14 000E,3 475m,Attele,Apprentis - lads-jockeys Pour 5 ans n'ayant pas gagne 36.000. - Avance de 25 m. aux chevaux drives par des personnes n'ayant pas gagne quatre courses. ,Volt
C8,22 000E,3 450m,Attele,Course E Pour 7 8 et 9 ans n'ayant pas gagne 187.000. - Recul de 25 m. a  92.000. ,Volt
C9,5 000E,3 450m,Attele,Amateurs Pour 7 8 et 9 ans n'ayant pas gagne 91.000. - Recul de 25 m. a  45.000. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
C1,13 000E,2 600m,Attele,Pour pouliches de 4 ans n'ayant pas gagne 12.000. - Recul de 25 m. a  6.000. ,Volt
C2,13 000E,2 600m,Attele,Pour pouliches de 4 ans n'ayant pas gagne 12.000. - Recul de 25 m. a  6.000. ,Volt
C3,13 000E,2 600m,Attele,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 12.000. - Recul de 25 m. a  6.000. ,Volt
C4,13 000E,2 600m,Attele,Pour poulains entiers et hongres de 4 ans n'ayant pas gagne 12.000. - Recul de 25 m. a  6.000. ,Volt
C5,45 000E,2 600m,Attele,TROPHEE VERT 8eme Etape du Trophee Vert Pour 6 a  10 ans inclus n'ayant pas gagne 580.000 a  leur premiere participation au Trophee Vert en 2022. - Recul de 25 m. a  159.000 de 50 m. a  279.000. Sont seules admises a  driver les personnes ayant gagne au moins dix courses (en etant titulaire d'une autorisation de monter a  titre professionnel). Sont seuls admis a  participer a  cette epreuve les chevaux n'ayant jamais remporte de Groupe I ni depuis le 1er janvier 2021 ete classes premiers d'une epreuve de Groupe II. En cas d'elimination seront maintenus partants en priorite en premier lieu tout gagnant d'une etape cette annee en second lieu a  partir de la 5eme etape organisee cette annee les 5 premiers du classement. Course precedee d'un defile. Course PMU eventuelle. ,Volt
C6,14 000E,2 600m,Attele,Pour pouliches de 3 ans n'ayant rien gagne. ,Volt
C7,5 000E,2 600m,Attele,Challenge UNAT NIDFE - FINNTACK Amateurs Pour 6 7 et 8 ans n'ayant pas gagne 61.000. - Recul de 25 m. a  33.500. En cas d'elimination le cheval drive par son proprietaire sera maintenu partant en priorite. ,Volt
